! Planar, Obzor-804, 22140011, 22.4.2/3
! Date: 13.10.2023 11:17:15
! Stimulus(Гц),    S21(дБ)
3.00000000000E+05,-4.67571638381E-03
4.02985000000E+07,-1.57129183130E-02
8.02970000000E+07,-1.81516959700E-02
1.20295500000E+08,-4.02494616967E-02
1.60294000000E+08,-3.15199640060E-02
2.00292500000E+08,-4.79253797433E-02
2.40291000000E+08,-2.65688289049E-02
2.80289500000E+08,-7.57720529304E-02
3.20288000000E+08,-6.07387007644E-02
3.60286500000E+08,-7.91930553275E-02
4.00285000000E+08,-6.47159878165E-02
4.40283500000E+08,-8.12517211695E-02
4.80282000000E+08,-1.31951648927E-02
5.20280500000E+08,-1.18957391145E-01
5.60279000000E+08,-8.95934500763E-02
6.00277500000E+08,-3.89375704933E-02
6.40276000000E+08,-1.22763639920E-01
6.80274500000E+08,-8.83208996247E-02
7.20273000000E+08,-8.07504390733E-02
7.60271500000E+08,-1.05742391124E-01
8.00270000000E+08,-1.52092967167E-01
8.40268500000E+08,+3.92801134334E-02
8.80267000000E+08,-2.80486510266E-01
9.20265500000E+08,-1.37125739622E-01
9.60264000000E+08,-1.85330474526E-01
1.00026250000E+09,-2.00764636378E-01
1.04026100000E+09,-2.14818108433E-01
1.08025950000E+09,-7.58904424352E-02
1.12025800000E+09,-2.59150404056E-01
1.16025650000E+09,-1.69132213791E-01
1.20025500000E+09,+2.47806716183E-02
1.24025350000E+09,-3.36445435532E-01
1.28025200000E+09,-1.40145146814E-01
1.32025050000E+09,-2.01945781816E-01
1.36024900000E+09,-8.59747301558E-02
1.40024750000E+09,-2.53740543823E-01
1.44024600000E+09,-5.74059784684E-02
1.48024450000E+09,-3.16920914492E-01
1.52024300000E+09,-1.20360861307E-01
1.56024150000E+09,-8.69401602429E-02
1.60024000000E+09,-1.97958045958E-01
1.64023850000E+09,-2.38933325098E-01
1.68023700000E+09,-1.25825993489E-01
1.72023550000E+09,-8.25184481840E-02
1.76023400000E+09,-3.13954649391E-01
1.80023250000E+09,-9.15048399486E-02
1.84023100000E+09,-3.09615426436E-01
1.88022950000E+09,-9.09179206001E-02
1.92022800000E+09,-1.95799298923E-01
1.96022650000E+09,-9.59446134497E-02
2.00022500000E+09,-4.03529276935E-01
2.04022350000E+09,+5.91029509383E-03
2.08022200000E+09,-1.60309623221E-01
2.12022050000E+09,-1.81121774820E-01
2.16021900000E+09,-1.62478381590E-01
2.20021750000E+09,-1.39627530110E-01
2.24021600000E+09,-1.22820383893E-01
2.28021450000E+09,-1.16171776088E-01
2.32021300000E+09,-6.20316624720E-02
2.36021150000E+09,-3.30777836950E-01
2.40021000000E+09,-1.01920905682E-02
2.44020850000E+09,-1.45900469605E-01
2.48020700000E+09,-1.34178074348E-01
2.52020550000E+09,-2.68063964083E-01
2.56020400000E+09,-5.23166166954E-03
2.60020250000E+09,-2.53057819536E-01
2.64020100000E+09,-5.29981787577E-02
2.68019950000E+09,-8.76998228458E-02
2.72019800000E+09,-3.21144892801E-01
2.76019650000E+09,-1.56175473846E-01
2.80019500000E+09,-1.84998570376E-01
2.84019350000E+09,-1.56352080616E-01
2.88019200000E+09,-2.11031954791E-01
2.92019050000E+09,-1.22848751249E-01
2.96018900000E+09,-4.01910509239E-01
3.00018750000E+09,-2.23608671109E-01
3.04018600000E+09,-1.84965784356E-01
3.08018450000E+09,-3.59003523045E-01
3.12018300000E+09,-4.96836524450E-01
3.16018150000E+09,-3.19182938416E-01
3.20018000000E+09,-2.99990555063E-01
3.24017850000E+09,-3.24136859450E-01
3.28017700000E+09,-3.34643547923E-01
3.32017550000E+09,-5.78018447916E-01
3.36017400000E+09,-4.97182521084E-01
3.40017250000E+09,-3.62937126300E-01
3.44017100000E+09,-3.21390656402E-01
3.48016950000E+09,-6.56943368347E-01
3.52016800000E+09,-3.64722773445E-01
3.56016650000E+09,-2.05758440631E-01
3.60016500000E+09,-8.96141281503E-03
3.64016350000E+09,-1.90462940523E-01
3.68016200000E+09,+5.48316678037E-01
3.72016050000E+09,+5.50635827346E-01
3.76015900000E+09,+1.08259311265E+00
3.80015750000E+09,+3.69123714460E-01
3.84015600000E+09,-1.79432755865E-01
3.88015450000E+09,-8.95266662727E-02
3.92015300000E+09,-2.28717899849E-01
3.96015150000E+09,-2.86381752123E-01
4.00015000000E+09,-8.16450312045E-01
4.04014850000E+09,-2.49458273954E-01
4.08014700000E+09,-4.74267015759E-01
4.12014550000E+09,-3.06924347095E-01
4.16014400000E+09,-7.43716643962E-01
4.20014250000E+09,-4.77346199831E-01
4.24014100000E+09,-6.89146551533E-01
4.28013950000E+09,-3.84167293193E-01
4.32013800000E+09,-2.93919187817E-01
4.36013650000E+09,-1.11318224043E+00
4.40013500000E+09,-5.46306315994E-01
4.44013350000E+09,-3.41407147689E-01
4.48013200000E+09,-3.54288201635E-01
4.52013050000E+09,-1.11395613386E+00
4.56012900000E+09,-3.32073235170E+00
4.60012750000E+09,-1.64808549962E+00
4.64012600000E+09,-9.50061880377E-01
4.68012450000E+09,-3.38964429006E-01
4.72012300000E+09,-1.82623702025E+00
4.76012150000E+09,-5.96943406639E-01
4.80012000000E+09,+7.52028346526E-02
4.84011850000E+09,-5.87933489267E-01
4.88011700000E+09,-3.43657232718E-01
4.92011550000E+09,-9.09486273493E-02
4.96011400000E+09,-7.06481931188E-01
5.00011250000E+09,-4.38101628985E-01
5.04011100000E+09,+2.75878200231E-03
5.08010950000E+09,-2.86096942310E-01
5.12010800000E+09,-9.16754393123E-01
5.16010650000E+09,-2.94382928684E-01
5.20010500000E+09,-4.77217329115E-01
5.24010350000E+09,-3.43714936280E-01
5.28010200000E+09,-3.19345045919E-01
5.32010050000E+09,-6.58208952159E-01
5.36009900000E+09,-7.96739263888E-01
5.40009750000E+09,-4.25303872850E-01
5.44009600000E+09,+8.10130885554E-02
5.48009450000E+09,-9.21634452671E-01
5.52009300000E+09,-6.80584403688E-01
5.56009150000E+09,-7.44215530452E-01
5.60009000000E+09,-2.80845086175E-01
5.64008850000E+09,-4.74132998389E-01
5.68008700000E+09,-3.76421288412E-01
5.72008550000E+09,-9.68462186571E-01
5.76008400000E+09,-6.08423347109E-01
5.80008250000E+09,-7.41812588200E-01
5.84008100000E+09,-7.12798301177E-01
5.88007950000E+09,-1.18182584266E+00
5.92007800000E+09,-1.13114202550E+00
5.96007650000E+09,-1.08783325332E+00
6.00007500000E+09,-8.61073757688E-01
6.04007350000E+09,-1.02638073522E+00
6.08007200000E+09,-1.61618592702E+00
6.12007050000E+09,-1.37758365089E+00
6.16006900000E+09,-1.88508856942E+00
6.20006750000E+09,-1.84444879828E+00
6.24006600000E+09,-2.10760542668E+00
6.28006450000E+09,-1.72351386754E+00
6.32006300000E+09,-2.14810963143E+00
6.36006150000E+09,-3.12257876432E+00
6.40006000000E+09,-1.81865820719E+00
6.44005850000E+09,-9.70738529427E-01
6.48005700000E+09,-1.37613348694E+00
6.52005550000E+09,-3.92141737814E+00
6.56005400000E+09,-7.65555057542E-01
6.60005250000E+09,-1.02123291486E+00
6.64005100000E+09,-8.06960192231E-01
6.68004950000E+09,-1.39510985027E+00
6.72004800000E+09,-1.11837503574E+00
6.76004650000E+09,-1.11072619543E+00
6.80004500000E+09,-1.00748350090E+00
6.84004350000E+09,-9.41863352158E-01
6.88004200000E+09,-9.84648012708E-01
6.92004050000E+09,-1.16614604370E+00
6.96003900000E+09,-1.58513717257E+00
7.00003750000E+09,-8.36951029892E-02
7.04003600000E+09,-6.29847088008E-01
7.08003450000E+09,-7.18956483825E-01
7.12003300000E+09,-1.05788999493E+00
7.16003150000E+09,-2.97198238097E-01
7.20003000000E+09,+4.40565703163E-03
7.24002850000E+09,+5.97578373717E-01
7.28002700000E+09,+8.34236179692E-02
7.32002550000E+09,+7.88529583234E-01
7.36002400000E+09,+1.60177760750E+00
7.40002250000E+09,+2.57934193861E+00
7.44002100000E+09,+3.17599170889E+00
7.48001950000E+09,+2.35957834958E+00
7.52001800000E+09,+1.05323146073E+00
7.56001650000E+09,+1.29045905428E-01
7.60001500000E+09,-6.30647894845E-01
7.64001350000E+09,-1.45579579300E+00
7.68001200000E+09,-1.23989051719E+00
7.72001050000E+09,-1.55047116476E+00
7.76000900000E+09,-1.81484436033E+00
7.80000750000E+09,-1.59738420267E+00
7.84000600000E+09,-2.24848396343E+00
7.88000450000E+09,-2.12683734471E+00
7.92000300000E+09,-2.06105335579E+00
7.96000150000E+09,-2.20297924374E+00
8.00000000000E+09,-1.68792940353E+00
